dtype,batch_size,seq_len,n_layers,num_gpus,tokens_per_sec,scaled_tokens_per_sec,mfu_pct,loss,mem_alloc_GB,mem_reserved_GB,mean_power_W,mean_gpu_util,mean_mem_bw_util,arith_intensity,error
int4,8,1024,8.0,1.0,73705.84407765645,293788.63862353907,156.68727393255415,9.19656753540039,12.059304448,30.895243264,910.8597500000001,89.75,31.25,12.0,
int4,1,2048,8.0,1.0,41365.74435272704,164882.25419727716,87.93720223854783,8.294082641601562,12.059304448,30.895243264,906.1547499999999,98.375,36.0,12.0,
int4,2,2048,8.0,1.0,56031.2878957773,223338.5425161174,119.11388934192925,9.244400024414062,12.059304448,30.895243264,884.235,98.7,33.8,12.0,
int4,4,2048,8.0,1.0,67205.7113514845,267879.3614367484,142.86899276626585,9.753093719482422,12.059304448,30.895243264,904.1130555555555,97.44444444444444,31.27777777777778,12.0,
int4,8,2048,8.0,1.0,75473.33118805203,300833.7737610008,160.44467933920043,10.080133438110352,12.059304448,52.353302528,929.4235806451611,95.0,27.774193548387096,12.0,
int12,1,128,8.0,1.0,4405.771315608658,17561.233754213077,37.46396534232123,3.166496753692627e-08,12.059304448,20.54160384,214.81199999999998,24.0,9.0,4.0,
int12,2,128,8.0,1.0,8556.897054240855,34107.46010531442,72.7625815580041,0.006697493139654398,12.059304448,20.54160384,305.3548,84.6,46.8,4.0,
int12,4,128,8.0,1.0,16558.093623154786,65999.91960776446,140.79982849656417,0.1172926127910614,12.059304448,20.54160384,417.9754000000001,96.6,52.4,4.0,
int12,8,128,8.0,1.0,29816.65690955927,118848.03913968125,253.54248349798667,1.1328673362731934,12.059304448,20.80374784,538.2524000000001,85.8,43.6,4.0,
int12,1,512,8.0,1.0,16403.787443274156,65384.861153640166,139.48770379443235,0.28065764904022217,12.059304448,20.80374784,676.2034000000001,78.6,38.2,4.0,
int12,2,512,8.0,1.0,29373.426001099888,117081.33791236798,249.77352087971832,1.6772069931030273,12.059304448,20.80374784,702.4748000000001,92.6,48.2,4.0,
int12,4,512,8.0,1.0,45088.94952093077,179722.80573522893,383.4086522351551,5.120964050292969,12.059304448,21.06589184,752.2388571428572,97.42857142857143,43.857142857142854,4.0,
int12,8,512,8.0,1.0,62860.1280338356,250558.03471030705,534.5238073819884,7.682636260986328,12.059304448,22.11446784,828.902,98.1,40.7,4.0,
int12,1,1024,8.0,1.0,28014.5448188841,111664.89017243436,238.21843236785998,5.9014739990234375,12.059304448,22.11446784,872.6946666666668,73.5,28.5,4.0,
int12,2,1024,8.0,1.0,44781.42550856041,178497.02693751044,380.7936574666889,5.197914123535156,12.059304448,22.11446784,829.6082857142857,90.85714285714286,39.857142857142854,4.0,
int12,4,1024,8.0,1.0,59274.1297174545,236264.38436738565,504.0306866504228,8.008613586425781,12.059304448,22.11446784,811.0024,90.0,36.8,4.0,
int12,8,1024,8.0,1.0,71649.26675137416,285591.201086891,609.2612289853674,9.507122039794922,12.059304448,30.972837888,872.780125,87.5,28.75,4.0,
